campaign_id,campaign_name,campaign_type,region,channel,month,spend,leads,conversions,sales_revenue,cac,roas
C001,Campaign Alpha,Email,North,Email,2025-01,12000,450,90,54000,133.33,4.5
C002,Campaign Alpha,Email,South,Email,2025-01,8000,300,55,31000,145.45,3.87
C003,Campaign Beta,Social Media,North,Facebook,2025-01,20000,900,150,90000,133.33,4.5
C004,Campaign Beta,Social Media,West,Instagram,2025-01,15000,650,110,62000,136.36,4.13
C005,Campaign Gamma,Search Ads,East,Google,2025-01,25000,500,200,130000,125,5.2
C006,Campaign Gamma,Search Ads,South,Google,2025-01,18000,420,150,92000,120,5.11
C007,Campaign Delta,Influencer,West,Instagram,2025-01,10000,350,70,38000,142.86,3.8
C008,Campaign Delta,Influencer,North,TikTok,2025-01,12000,400,85,46000,141.18,3.83
C009,Campaign Alpha,Email,North,Email,2025-02,11000,480,100,60000,110,5.45
C010,Campaign Beta,Social Media,North,Facebook,2025-02,21000,950,170,102000,123.53,4.86
C011,Campaign Gamma,Search Ads,East,Google,2025-02,26000,520,210,140000,123.81,5.38
C012,Campaign Delta,Influencer,West,Instagram,2025-02,9000,330,75,41000,120,4.55
C013,Campaign Alpha,Email,South,Email,2025-02,9000,310,60,36000,150,4
C014,Campaign Beta,Social Media,East,LinkedIn,2025-02,17000,600,95,58000,178.95,3.41
C015,Campaign Gamma,Search Ads,South,Google,2025-02,20000,450,160,98000,125,4.9
C016,Campaign Delta,Influencer,North,TikTok,2025-02,13000,420,88,50000,147.73,3.85
C017,Campaign Alpha,Email,East,Email,2025-03,10000,470,95,52000,105.26,5.2
C018,Campaign Beta,Social Media,North,Facebook,2025-03,22000,980,185,112000,118.92,5.09
C019,Campaign Gamma,Search Ads,West,Google,2025-03,24000,505,205,135000,117.07,5.62
C020,Campaign Delta,Influencer,South,Instagram,2025-03,9500,345,78,42000,121.79,4.42
